indicator,type,source,first_seen,last_seen,confidence,severity,tags,description,raw_data,asn,country,organization,ports,services,malware_families,references,latitude,longitude
86b32049a679b945a803b32e58ba9462,hash_md5,alienvault,2025-09-12T14:56:56,,0.7,medium,[],,"{'pulse_key': '68c434b702367baa76c87ab9', 'id': 4129651469, 'indicator': '86b32049a679b945a803b32e58ba9462', 'type': 'FileHash-MD5', 'created': '2025-09-12T14:56:56', 'content': '', 'title': '', 'description': '', 'expiration': None, 'is_active': 1, 'false_positive': {'assessment': None, 'assessment_date': None, 'report_date': None}, 'slug': 'file', 'pulse_id': '68c434b702367baa76c87ab9'}",,,,[],[],[],[],,
cd0c6cb4807f5266df4c34846e5a3250,hash_md5,alienvault,2025-09-12T14:56:56,,0.7,medium,[],,"{'pulse_key': '68c434b702367baa76c87ab9', 'id': 4129651470, 'indicator': 'cd0c6cb4807f5266df4c34846e5a3250', 'type': 'FileHash-MD5', 'created': '2025-09-12T14:56:56', 'content': '', 'title': '', 'description': '', 'expiration': None, 'is_active': 1, 'false_positive': {'assessment': None, 'assessment_date': None, 'report_date': None}, 'slug': 'file', 'pulse_id': '68c434b702367baa76c87ab9'}",,,,[],[],[],[],,
b9df6e383de60d6c91d4953face7ba335af78481,hash_sha1,alienvault,2025-09-12T14:56:56,,0.7,medium,[],,"{'pulse_key': '68c434b702367baa76c87ab9', 'id': 4129651471, 'indicator': 'b9df6e383de60d6c91d4953face7ba335af78481', 'type': 'FileHash-SHA1', 'created': '2025-09-12T14:56:56', 'content': '', 'title': '', 'description': '', 'expiration': None, 'is_active': 1, 'false_positive': {'assessment': None, 'assessment_date': None, 'report_date': None}, 'slug': 'file', 'pulse_id': '68c434b702367baa76c87ab9'}",,,,[],[],[],[],,
d94a15b3585336943154dae4ae5f2b78975b4a74,hash_sha1,alienvault,2025-09-12T14:56:56,,0.7,medium,[],,"{'pulse_key': '68c434b702367baa76c87ab9', 'id': 4129651472, 'indicator': 'd94a15b3585336943154dae4ae5f2b78975b4a74', 'type': 'FileHash-SHA1', 'created': '2025-09-12T14:56:56', 'content': '', 'title': '', 'description': '', 'expiration': None, 'is_active': 1, 'false_positive': {'assessment': None, 'assessment_date': None, 'report_date': None}, 'slug': 'file', 'pulse_id': '68c434b702367baa76c87ab9'}",,,,[],[],[],[],,
1b272eb601bd48d296995d73f2cdda54ae5f9fa534efc5a6f1dab3e879014b57,hash_sha256,alienvault,2025-09-12T14:56:56,,0.7,medium,[],,"{'pulse_key': '68c434b702367baa76c87ab9', 'id': 4129651473, 'indicator': '1b272eb601bd48d296995d73f2cdda54ae5f9fa534efc5a6f1dab3e879014b57', 'type': 'FileHash-SHA256', 'created': '2025-09-12T14:56:56', 'content': '', 'title': '', 'description': '', 'expiration': None, 'is_active': 1, 'false_positive': {'assessment': None, 'assessment_date': None, 'report_date': None}, 'slug': 'file', 'pulse_id': '68c434b702367baa76c87ab9'}",,,,[],[],[],[],,
3552b1fded77d4c0ec440f596de12f33be29c5a0b5463fd157c0d27259e5a2df,hash_sha256,alienvault,2025-09-12T14:56:56,,0.7,medium,[],,"{'pulse_key': '68c434b702367baa76c87ab9', 'id': 4129651474, 'indicator': '3552b1fded77d4c0ec440f596de12f33be29c5a0b5463fd157c0d27259e5a2df', 'type': 'FileHash-SHA256', 'created': '2025-09-12T14:56:56', 'content': '', 'title': '', 'description': '', 'expiration': None, 'is_active': 1, 'false_positive': {'assessment': None, 'assessment_date': None, 'report_date': None}, 'slug': 'file', 'pulse_id': '68c434b702367baa76c87ab9'}",,,,[],[],[],[],,
37fc6016eea22ac5692694835dda5e590dc68412ac3a1523ba2792428053fbf4,hash_sha256,alienvault,2025-09-12T14:56:56,,0.7,medium,[],,"{'pulse_key': '68c434b702367baa76c87ab9', 'id': 4129651475, 'indicator': '37fc6016eea22ac5692694835dda5e590dc68412ac3a1523ba2792428053fbf4', 'type': 'FileHash-SHA256', 'created': '2025-09-12T14:56:56', 'content': '', 'title': '', 'description': '', 'expiration': None, 'is_active': 1, 'false_positive': {'assessment': None, 'assessment_date': None, 'report_date': None}, 'slug': 'file', 'pulse_id': '68c434b702367baa76c87ab9'}",,,,[],[],[],[],,
50258134199482753e9ba3e04d8265d5f64d73a5099f689abcd1c93b5a1b80ee,hash_sha256,alienvault,2025-09-12T14:56:56,,0.7,medium,[],,"{'pulse_key': '68c434b702367baa76c87ab9', 'id': 4129651476, 'indicator': '50258134199482753e9ba3e04d8265d5f64d73a5099f689abcd1c93b5a1b80ee', 'type': 'FileHash-SHA256', 'created': '2025-09-12T14:56:56', 'content': '', 'title': '', 'description': '', 'expiration': None, 'is_active': 1, 'false_positive': {'assessment': None, 'assessment_date': None, 'report_date': None}, 'slug': 'file', 'pulse_id': '68c434b702367baa76c87ab9'}",,,,[],[],[],[],,
52273e057552d886effa29cd2e78836e906ca167f65dd8a6b6a6c1708ffdfcfd,hash_sha256,alienvault,2025-09-12T14:56:56,,0.7,medium,[],,"{'pulse_key': '68c434b702367baa76c87ab9', 'id': 4129651477, 'indicator': '52273e057552d886effa29cd2e78836e906ca167f65dd8a6b6a6c1708ffdfcfd', 'type': 'FileHash-SHA256', 'created': '2025-09-12T14:56:56', 'content': '', 'title': '', 'description': '', 'expiration': None, 'is_active': 1, 'false_positive': {'assessment': None, 'assessment_date': None, 'report_date': None}, 'slug': 'file', 'pulse_id': '68c434b702367baa76c87ab9'}",,,,[],[],[],[],,
782b07c9af047cdeda6ba036cfc30c5be8edfbbf0d22f2c110fd0eb1a1a8e57d,hash_sha256,alienvault,2025-09-12T14:56:56,,0.7,medium,[],,"{'pulse_key': '68c434b702367baa76c87ab9', 'id': 4129651478, 'indicator': '782b07c9af047cdeda6ba036cfc30c5be8edfbbf0d22f2c110fd0eb1a1a8e57d', 'type': 'FileHash-SHA256', 'created': '2025-09-12T14:56:56', 'content': '', 'title': '', 'description': '', 'expiration': None, 'is_active': 1, 'false_positive': {'assessment': None, 'assessment_date': None, 'report_date': None}, 'slug': 'file', 'pulse_id': '68c434b702367baa76c87ab9'}",,,,[],[],[],[],,
